raw_skill,esco_preferred_label,esco_uri,confidence_score
business intelligence,business intelligence,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,100.0
customer service,customer service,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,100.0
health and safety regulations,health and safety regulations,http://data.europa.eu/esco/skill/f2f463e5-2382-49cb-8199-e7e043d868df,100.0
employment law,employment law,http://data.europa.eu/esco/skill/97b713f0-b9e8-4903-8dee-7e0b4019a1c0,100.0
project management,project management,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,100.0
company policies,company policies,http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5,100.0
conflict management,conflict management,http://data.europa.eu/esco/skill/afd49651-9119-4327-91fc-844a6dda1254,100.0
mergers and acquisitions,mergers and acquisitions,http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,100.0
communication,communication,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,100.0
learning management system,learning management systems,http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834,98.11
employment laws,employment law,http://data.europa.eu/esco/skill/97b713f0-b9e8-4903-8dee-7e0b4019a1c0,96.55
communications,communication,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,96.3
organizational policies,organisational policies,http://data.europa.eu/esco/skill/3a5231a0-8c30-48ee-b671-08e2debd4441,95.65
database documentation,write database documentation,http://data.europa.eu/esco/skill/64db87c7-2360-4e20-88d3-d222402e477c,95.0
change management,apply change management,http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,95.0
hr project management,project management,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,95.0
business acumen,apply business acumen,http://data.europa.eu/esco/skill/4ddf5204-95f5-4be2-ad35-571e2f493ae5,95.0
safety and health,promote health and safety,http://data.europa.eu/esco/skill/93a68dcb-3dc6-4dbe-b196-f6d212228a50,95.0
project management skills,project management,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,95.0
standard operating procedures,adhere to Standard Operating Procedures,http://data.europa.eu/esco/skill/6d7e3b0c-3995-4953-816d-cf3c5e9ffe34,95.0
employment,employment law,http://data.europa.eu/esco/skill/97b713f0-b9e8-4903-8dee-7e0b4019a1c0,95.0
strategic hr planning,strategic planning,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2,95.0
performance feedback,provide performance feedback,http://data.europa.eu/esco/skill/ace994b7-0c7c-44b2-8087-3aa0bfd2a93a,95.0
state employment law,employment law,http://data.europa.eu/esco/skill/97b713f0-b9e8-4903-8dee-7e0b4019a1c0,95.0
